Asset Management,Audit Comité,Build,CEO office,Customer & Business Excellence,Finance & Business Administration,Human Resources & Organisation,Information & Communication Technology,Operations,"Procurement, Production & Supply Chain",Strategy & Corporate & Public Affairs
2.93,2.333,1.709,0.0,3.518,3.418,3.211,2.893,0.0,0.0,3.063
2.955,4.0,2.216,0.0,3.37,3.066,3.216,2.761,0.0,0.0,3.339
3.028,3.5,2.815,0.0,3.579,3.408,3.6,2.974,0.0,0.0,3.313
2.766,4.0,2.588,0.0,2.939,2.971,2.735,2.526,0.0,0.0,2.641
2.928,3.25,2.581,0.0,3.629,3.457,3.407,2.682,0.0,0.0,3.04
3.122,3.333,3.025,0.0,3.64,3.519,3.43,3.016,0.0,0.0,5.327
2.664,4.0,2.615,0.0,3.141,3.0,2.778,2.569,0.0,0.0,4.758
2.873,3.25,2.253,0.0,3.506,3.014,3.084,2.704,0.0,0.0,4.338
2.932,3.75,2.602,0.0,3.407,3.306,3.023,2.887,0.0,0.0,4.634
3.4,4.75,3.045,0.0,4.176,3.854,3.647,3.336,0.0,0.0,5.672
2.993,4.0,2.654,0.0,3.687,3.5,3.217,3.055,0.0,0.0,4.032
2.615,3.25,2.267,0.0,3.212,3.139,2.925,2.615,0.0,0.0,3.228
3.09,3.666,3.036,0.0,4.093,3.607,3.392,3.062,0.0,0.0,3.887
2.95,3.666,2.876,0.0,3.654,3.509,3.08,2.997,0.0,0.0,3.913
3.141,3.0,3.076,0.0,4.09,3.732,3.557,3.185,0.0,0.0,3.793
2.968,3.333,2.788,0.0,3.662,3.666,3.059,2.856,0.0,0.0,3.428
3.269,4.0,3.175,0.0,4.123,3.718,3.615,3.235,0.0,0.0,3.9
2.963,3.25,2.886,0.0,3.691,3.571,3.063,2.96,0.0,0.0,3.44
2.891,2.666,2.776,0.0,3.523,3.251,3.182,2.837,0.0,0.0,3.15
2.737,2.4,2.682,0.0,3.678,3.09,2.781,2.658,0.0,0.0,3.307
3.084,4.0,2.78,0.0,4.018,3.67,3.31,3.115,0.0,0.0,3.688
4.329,5.8,4.647,4.0,5.802,5.63,4.629,4.764,0.0,0.0,4.492
3.371,3.6,3.294,4.0,4.392,4.117,3.541,3.557,0.0,0.0,3.968
2.841,3.2,2.62,3.0,3.649,3.606,3.126,2.885,0.0,0.0,3.166
3.358,4.0,0.0,4.0,4.124,3.949,3.854,3.536,4.0,0.0,4.205
